Wall time,Step,Value
1692620127.337363,0,0.5318127870559692
1692620662.6542082,1,0.43635988235473633
1692621248.2087276,2,0.43073543906211853
1692621846.0964298,3,0.447781503200531
1692622537.689209,4,0.44979169964790344
1692623185.1916335,5,0.5073009133338928
1692626522.2954764,6,0.4991578757762909
1692627057.4277446,7,0.4407815635204315
1692627595.7591414,8,0.42081019282341003
1692628141.434928,9,0.42447707056999207
1692632070.8390307,10,0.4520125389099121
1692632599.3468535,11,0.4362940788269043
1692633142.8493214,12,0.42533984780311584
1692634022.9875739,13,0.4185537099838257
1692634605.4619768,14,0.4145659804344177
1692635187.7071347,15,0.4135211110115051
1692635769.6710465,16,0.42157310247421265
1692636352.123087,17,0.4843168556690216
1692636935.1978352,18,0.5290387868881226
1692637517.374754,19,0.5872861742973328
1692638099.958899,20,0.646381139755249
1692638700.0477304,21,0.688299298286438
